Year,State,stateid,statepop,"Residents in State, County, and City Mental Hospitals",Resident all Mental Institutions,All Patients (Resident and on Parole) in All Mental Institutions,Homicide Count,Prisoners,Jailpop,Executions,Real Per Cap Income,Age Percent 15 to 19,Age Percent 20 to 24,Nonwhite,r_black,r_urban
1926,OR,38,905000,2813,2813,3101,38,572,224.099999999999,1,,,,,,
1926,PA,39,9594000,12119,12119,13231,525,4170,3925.09999999998,0,,,,,,
1926,RI,40,681000,1735,1735,2157,21,388,183.3,0,,,,,,
1926,SC,41,1726000,2558,2558,2810,227,504,784.599999999999,1,,,,,,
1926,SD,42,683000,1317,1317,1325,,469,75.6000000000004,0,,,,,,
1926,TN,43,2553000,3078,3078,3102,432,2023,794.900000000023,0,,,,,,
1926,TX,44,5453000,7619,7619,8541,,3201,536.399999999994,0,,,,,,
1926,UT,45,494000,773,773,773,20,210,68.1999999999998,2,,,,,,
1926,VT,46,356000,835,835,852,8,343,48.8000000000002,0,,,,,,
1926,VA,47,2419000,5604,5604,7017,219,1979,984.799999999988,1,,,,,,
1926,WA,48,1516000,4150,4150,4693,53,1552,346.2,1,,,,,,
1926,WV,49,1623000,2422,2422,3956,204,1799,452.899999999994,4,,,,,,
1926,WI,50,2892000,1761,1761,2750,73,1494,741.799999999988,0,,,,,,
1926,WY,51,217000,380,380,394,32,264,30.5,0,,,,,,
1927,AL,1,2609000,3420,3420,3983,526,3152,738,0,,,,,,
1927,AK,2,,,,,,,,,,,,,,
1927,AZ,3,414000,704,704,824,48,483,52.6000000000004,1,,,,,,
1927,AR,4,1840000,2679,2679,3584,315,1241,199.400000000001,1,,,,,,
1927,CA,5,5147000,13318,13318,14670,388,6049,2189.40000000002,7,,,,,,
1927,CO,6,1028000,2435,2435,2740,59,1258,202.200000000001,0,,,,,,
1927,CT,7,1557000,4916,4916,5355,35,1005,384,2,,,,,,
1927,DE,8,229000,579,579,661,24,,242.399999999994,0,,,,,,
1927,FL,10,1418000,2799,2799,3016,485,2503,430.600000000006,8,,,,,,
1927,GA,11,2891000,4936,4936,5712,,3184,2041.60000000001,8,,,,,,
1927,HI,12,,,,,,,,,,,,,,
1927,ID,13,447000,653,653,863,15,396,140.599999999999,0,,,,,,
1927,IL,14,7519000,20904,20904,21790,756,6378,2294.40000000002,0,,,,,,
1927,IN,15,3191000,6340,6340,6672,200,3710,523,1,,,,,,
1927,IA,16,2441000,5420,5420,6298,59,2157,320,0,,,,,,
1927,KS,17,1836000,3821,3821,4367,81,2708,214.400000000001,0,,,,,,
1927,KY,18,2551000,4973,4973,5438,426,2188,537.400000000001,1,,,,,,
1927,LA,19,2039000,3673,3673,3725,418,1746,504.600000000006,0,,,,,,
1927,ME,20,796000,1960,1960,2105,15,382,208.400000000001,0,,,,,,
1927,MD,21,1599000,3863,3863,3945,114,2095,653.200000000012,4,,,,,,
1927,MA,22,4223000,17217,17217,19119,85,1866,1874.39999999999,6,,,,,,
1927,MI,23,4589000,7937,7937,8896,372,6303,1329,0,,,,,,
1927,MN,24,2588000,7410,7410,8333,65,2167,748.600000000006,0,,,,,,
1927,MS,25,1962000,2990,2990,3634,433,1717,306.800000000003,0,,,,,,
1927,MO,26,3576000,5857,5857,6207,375,3624,730.600000000006,0,,,,,,
1927,MT,27,527000,1472,1472,1472,37,471,96.3999999999996,0,,,,,,
1927,NE,28,1365000,3352,3352,3952,59,994,223.400000000001,2,,,,,,
1927,NV,29,88000,224,224,245,,188,52.2000000000007,0,,,,,,
1927,NH,30,466000,1575,1575,1708,3,122,132,0,,,,,,
1927,NJ,31,3891000,6002,6002,6557,162,2518,1051.60000000001,7,,,,,,
1927,NM,32,410000,520,520,631,,381,29.4000000000001,0,,,,,,
1927,NY,33,11174000,45131,45131,49064,635,7583,5739.40000000002,13,,,,,,
1927,NC,34,3027000,4899,4899,5974,280,1723,554.399999999994,0,,,,,,
1927,ND,35,657000,1444,1444,1528,11,302,84.3999999999996,0,,,,,,
1927,OH,36,6577000,14360,14360,16243,550,7530,1819.60000000001,8,,,,,,
1927,OK,37,2306000,3794,3794,4151,,3281,428.399999999994,0,,,,,,
1927,OR,38,925000,2898,2898,3191,34,629,241.800000000003,0,,,,,,
1927,PA,39,9745000,12328,12328,13620,557,4505,4173.79999999999,8,,,,,,
1927,RI,40,677000,1762,1762,2230,18,362,180.4,0,,,,,,
1927,SC,41,1736000,2709,2709,3012,204,437,803.800000000003,1,,,,,,
1927,SD,42,682000,1366,1366,1380,,420,83.7999999999993,0,,,,,,
1927,TN,43,2608000,3282,3282,3318,433,2182,941.200000000012,0,,,,,,
1927,TX,44,5577000,7935,7935,8886,,3864,610.200000000012,0,,,,,,
1927,UT,45,500000,809,809,809,13,208,69.5999999999999,0,,,,,,
